Título;Subtítulo;Autor;Editor;Encuadernación;Fecha de compra;Precio de compra;Editorial;Edición;Año del copyright;Año de publicación;ISBN#;LCCN#;Páginas;Traductor;Idioma;Género;Palabras clave;Serie;Número en la serie;Condición;Firmado;Leído;Regalo;Prestado;Clasificación;Carátula frontal;Sinopsis;Comentarios;ID;Fecha de creación;Fecha de modificación;País Autor;Estante
Falsa Calma;Un Recorrido por Pueblos Fantasma de La Patagonia;Cristoff, María Sonia;;Tapa blanda;2016-01-01;;Booket;1;2014;2014;978-987-580694-8;;240;;Castellano;Narrativa;"Ficción; Literatura; Rural";;;Nuevo;;true;;;;573bd8d91d27290647498bbd6d247b83.jpeg;"<p><b>Un recorrido por pueblos fantasma de la Patagonia.</b></p> <br/> <p>Dos décadas después de haber dejado el pueblo donde nació, la narradora vuelve a la Patagonia siguiendo un recorrido intuitivo e íntimo de horas infinitas. Se detiene en parajes olvidados, se disputa las calles polvorientas con perros semisalvajes, se sienta a conversar con personas que han perdido una cantidad de cosas entre las cuales destaca la cordura. Aun así, encuentra destellos de felicidad absoluta, como la que la asalta cuando la risa de una ronda de niñas la protege de los teros que venían amenazándola desde las alturas durante una de sus tantas caminatas en solitario. En las antípodas de las postales estetizantes, <b>Falsa calma</b> es una narrativa de regreso que puede leerse como una sucesión de retratos y es también una lúcida indagación en las causas políticas de lo fantasmagórico.</p> <p><b>La crítica dijo:</b></p> <p>«Cristoff no hace ningún esfuerzo por guiar o mimar al lector, pintar un retrato romántico de una tierra remota o decirnos cómo debemos reaccionar ante las vidas solitarias, aterradoras y ocasionalmente heroicas que expone. Cristoff pinta un cuadro de singularidad devastadora. El suyo es un libro audaz y hermoso».<br/><b>Andrew McCarthy, The New York Times</b></p> <p>«Falsa calma tiene poca relación con la mayoría de los diarios de viaje [...]. No es exploración; es retrato».<br/><b>NPR</b></p> <p>«Una crónica maravillosa».<br/><b>Publishers Weekly </b></p> <p>«Cautivador, inteligente, un libro en el que la fuerza silenciosa va más allá de su objeto real».<br/><b>Frankfurter Allgemeine Zeitung </b></p> <p>«Retratos rápidos y precisos que alcanzan, en más de una ocasión, una vibración epifánica».<br/><b>Pedro B. Rey, La Nación</b></p> <p>«Los perfiles exactos de Cristoff crean una sensación similar a las viñetas por las que Joan Didion se hizo famosa en sus primeros reportajes».<br/><b>Harvard Review </b></p> <p>«Lo que consigue Cristoff es un milagro que, no por repetido, dejará de asombrarnos: en los libros ""de verdad"" no solo se construye un mundo sino que, además, la verdad de ese mundo nos alcanza y nos toca, nos modifica para siempre».<br/><b>Daniel Link</b></p> <p>«Libro de no ficción inclasificable».<br/><b>Christopher Merrill, The Paris Review</b></p>";;11;2023-10-11;2023-10-15;Argentina;
Historias Secretas de Córdoba;;Camarasa, Jorge;;Tapa blanda;;;Alfaguara;1;2012;2012;978-987-042391-1;;194;;Castellano;Cuentos;"Histórica; Córdoba; Latinoamérica";;;;;;;;;9d6e5f756be7555f94836dba2dba7e51.jpeg;"<p><b>Los doce relatos que conforman este libro nos invitan a formar parte de este lugar de encuentro que es, también, un verdadero mundo dentro del mundo.</b></p> <br/> <p>Como pocos lugares en el mundo, Córdoba es un escenario por el que han pasado personajes sobresalientes y donde han transcurrido aco ntecimientos extraordinarios que son parte de la historia universal contemporánea.</p> <p></p> <p>En un terreno transformado por los pueblos indígenas, por la llegada de los primeros adelantados españoles, por los jesuitas y por la formación de una incipiente oligarquía terrateniente, buscaron refugio -u olvido- inmigrantes, fugitivos, aventureros, místicos y ocultistas, criminales nazis y exiliados de la España franquista, millonarios, artistas, perseguidos políticos, santos y asesinos.</p> <p></p> <p>Mientras nos guía por los altibajos de su geografía incomparable, <b>Jorge Camarasa</b> nos enseña los lugares donde transcurrió la infancia de Ernesto ""Che"" Guevara, los paisajes que vio Eva Duarte cuando filmaba la película que el peronismo prefirió ocultar, los hoteles donde el mismísimo Adolf Hitler habría sido visto, el pueblo ausente al que habría llegado Pablo Neruda. O nos cuenta cómo el cerro Uritorco ha convocado a 10 largo de los tiempos toda clase de excursiones místicas: templarios, sociedades secretas, buscadores de ovnis, sectas, grupos newage; todos congregados alrededor de esta montaña mágica que aún hoy sigue dando que hablar.</p> <p></p> <p>Historias de mujeres y hombres que han volado los cielos, atravesado océanos y cruzado montañas, movidos por el amor, la fe, la pasión o la muerte, los doce relatos que conforman este libro nos invitan a formar parte de este lugar de encuentro que es, también, un verdaderomundo dentro del mundo.</p>";;12;2023-10-11;2024-02-10;Argentina;
Al Gran Pueblo Argentino Salud;Una Historia Del Vino, La Bebida Nacional;Pigna, Felipe;;Tapa blanda;;;Grupo Planeta Spain;1;2014;2014;978-950-493786-9;;171;;Castellano;Narrativa;"Histórica; vinos";;;;;;;;;0569396d3c4bd7bbde922cba3562cf85.jpeg;<p>Prólogo de Prólogo de Fabricio Portelli<br/>Infaltable en el brindis, en los buenos momentos compartidos y en la mesa cotidiana, el vino argentino es nuestra bebida nacional, en los últimos tiempos reconocida, apreciada y premiada por los paladares más exigentes del mundo. Para ello ha sido necesaria una larga historia de casi cinco siglos, forjada por la labor de generaciones de mujeres y de hombres que arraigaron y adaptaron las vides provenientes del Viejo Mundo, las cultivaron e hicieron nuestros vinos, muchas veces en las condiciones más desfavorables. Una historia que continúa hoy y se proyecta al futuro en los miles y miles de argentinas y de argentinos que centran en nuestra vitivinicultura su dedicación y sus vidas.<br/>Al gran pueblo argentino, salud recorre cinco siglos de historia cuyos orígenes se remontan a un pasado casi legendario, desde la introducción de la vid en suelos americanos hasta el presente. En este nuevo libro, Felipe Pigna recupera, junto a los grandes procesos de transformación de nuestra vitivinicultura, los esfuerzos, los desvelos, las alegrías y el espíritu emprendedor de quienes participan con enorme entusiasmo en nuestra más antigua agroindustria, a través de sus historias, sus personajes y anécdotas más coloridas y sus aportes a la forma de ser de los argentinos. Se convierte así en una obra insustituible para entender la historia social y cultural argentina a partir de nuestra bebida nacional: el vino argentino.</p>;;13;2023-10-11;2024-02-10;Argentina;
Colonias Alemanas en Patagonia Argentina;Una Descripción de Sus Comienzos y Fracasos;Maggiori, Ernesto;;Tapa blanda;;;Vela Al Viento, Ediciones Patagónicas;1;2009;2009;978-987-2436-95-7;;128;;Castellano;Historia;"Histórica; Patagonia; Alemania; Migración";;;;;;;;;;Finalizada la Campaña del Desierto, oficiales alemanes del ejército de Roca se constituyeron en los primeros europeos de esa nacionalidad que se asentaron en tierras patagónicas. Enseguida vendrían las empresas colonizadoras organizadas para traer inmigrantes a poblar el territorio. Para fines del siglo XIX el primer grupo de alemanes se dirigía desde Carmen de Patagones hasta el Fuerte del General Roca. En la primera década del Siglo XX los integrantes de las colonias Friedland en Río Pico y la Compañía Germano Argentina en Santa Cruz, intentarían organizar  y llevar a delante sus proyectos. Todos estos emprendimientos fracasaron. Esta obra es una síntesis de cientos de entrevistas, recorridos y acumulación de datos y fotos.;;14;2023-10-11;2024-02-10;Argentina;
Geografías Argentinas;Mitos, Historias y Secretos de un País;Jáuregui, Martín;;Tapa blanda;;;Planeta;3;2010;2011;950-492402-6;;416;;Castellano;Narrativa;"Argentina; Relatos";;;;;true;;;;54b274685ef9ee3767916c23c80be248.jpeg;Cuando estudiábamos en la escuela, pocas veces la geografía nos parecía divertida o asombrosa. Era tedioso memorizar la altura de las montañas y la densidad demográfica de una provincia, así como entender los procesos de la erosión eólica, los misterios de plegamientos terciarios y geosinclinales andinos.<br/>Llegado el nuevo siglo y de la mano de Martín Jáuregui, de viaje por nuestro inabarcable país, nos convertimos en turistas entusiastas y en potenciales geógrafos. Leyéndolo, nos alegramos de pertenecer a estas latitudes y de vivir en esta región incomparable. Y lo más inusual, nos dio ganas de saber más sobre las costumbres de nuestra gente, sobre los paisajes conocidos o inesperados, sobre las historias que fueron conformando nuestra diversidad.<br/>Jáuregui es un escritor dinámico pero, sobre todo, un gran viajero que nos permite trascender el mapa para revelarnos la esencia vital de nuestro territorio. Su mirada, joven y antigua a la vez, está impregnada del tiempo que habita los espacios por los que anduvo. Cuenta con generosidad lo que vio, lo que sintió y lo que vieron y sintieron día a día y siglo a siglo los habitantes que han ido conformando la Argentina.<br/>De lectura imprescindible, Geografías argentinas incluye además una completa y ordenada información, a veces insospechada y siempre ágil y fácil de comprender, que jóvenes y no tanto podrán utilizar y disfrutar.;;15;2023-10-11;2023-10-17;Argentina;
Júbilo de Esperanza;Apuntes Báscios;Cardozo, Linares;Romani, Roberto;Tapa blanda;;;Editorial de Entre Ríos;1;2004;2004;950-686146-3;;;;Castellano;Narrativa;Entre Ríos;;;;;true;;;;986c96b58cded74e9248e86ad9236d6e.jpeg;;;16;2023-10-11;2023-10-13;Argentina;
Antología Poética Edgar Allan Poe;;Poe, Edgar Allan;Testadiferro, Marcela;Tapa blanda;;;Need;;1998;1998;987-918633-8;;;Testadiferro, Marcela;Castellano;Narrativa;Poesía;;;;;true;;;;;;;17;2023-10-11;2023-10-16;Estados Unidos;
Puyuhuapi;"Curanto y Kuchen; Historia Oral de un Pueblo de Aysén";"Ludwig, Luisa; Winkler, Luisa Ludwig";;Tapa blanda;2012-01-01;;Fundación Mustakis;;;2011;978-956-345472-7;;372;;Castellano;Narrativa;"Histórica; Alemania";;;Nuevo;;true;;;;beae1ef0adc6a87d0cb52dd2e6b46a9a.jpeg;;;18;2023-10-11;2024-04-22;Chile;
Doce Cuentos de Verano;;"Casciari; Altuna";;Tapa blanda;;;Orsai;4;2017;2021;978-84-15-52512-7;;;;Castellano;Cuentos;Cuentos;;;;;true;;;;cc0ec182f6363f00ecbee1ee4b8c26fd.jpeg;Un libro que nació almorzando<br/><br/>Durante varios encuentros en Barcelona Horacio Altuna y Hernán Casciari crearon las historias que componen este libro. Hinchas de Racing ambos (y nostálgicos de Buenos Aires) el dibujante y el escritor almorzaron durante todo un verano y se pusieron como única meta que el calor fuera protagonista secreto de cada historia.<br/>Doce historias<br/><br/>En este álbum hay pasajeros que surcan aeropuertos sofocantes, parejas que hierven su desamor en la arena, padres e hijos que discuten a treinta y nueve grados, ancianos que escapan de geriátricos mal ventilados, mochileras que alteran la paz de los pueblos chicos, maridos que llegan a casa muertos de sed, vecinas que calientan el asfalto y otro puñado de historias que levantan la temperatura.;;19;2023-10-11;2023-10-16;Argentina;
Mis Días En La Libreria Morisaki;;Yagisawa, Satoshi;;Tapa blanda;2023-01-01;;Ediciones Urano;1;2010;2023;84-92-91916-7;;160;Asins, Estefanía;Castellano;Ciencia ficción;"Ficción; Libros; Japón";;;Nuevo;;true;;;;394f429f1fc3c6958be4bff340180bc1.jpeg;Jinbocho, Tokyo. The neighborhood of bookstores and publishers, paradise for readers. A quiet corner out of time, a few steps from the subway and large modern buildings. Rows and rows of windows full of books, new or second-hand. Tatako, twenty-five years old and with a rather colorless life, does not attend regularly. However, it is here that the Morisaki bookstore is located, which has been in her family for three generations. A store of barely eight tatami mats in an old wooden building, with a room on the top floor used as a store. It is the kingdom of Satoru, Tatako's eccentric uncle. Enthusiastic and a bit deranged, he dedicates his life to books, especially since his wife left him. Quite the opposite of Tatako, who hasn't left home since the man she was in love with told her that he wanted to marry someone else. It is Satoru who throws him a lifeline, offering to move him to the first floor of the bookstore. She, who is not a great reader, finds herself living in the midst of crumbling towers of books and clients who do not stop asking her questions and quoting unknown writers. Between increasingly passionate discussions about modern Japanese literature, a meeting in a cafe with a shy stranger and some revelations about Satoru's love story, Tatako will gradually discover a way of communicating and relating that starts from books.;;20;2023-10-11;2024-02-10;Japón;
Casa de una Escritora en Gales, La;;Morris, Jan;;Tapa dura;2010-01-01;;National Geographic Society;;2002;2002;84-82-98287-7;;128;Berdagué, Roser;Castellano;Narrativa;"Biografía; Cultural; Etnia";;;Usado;;true;;;;437d039a593fc441927b1d5986cb250b.jpeg;«Trefan Morys es el nombre de mi casa en Gales y, a decir verdad, creo que lo más interesante es el hecho de que está en Gales.» <br/>Con sencilla elegancia, Jan Morris reflexiona sobre su hogar en Gales, su hermoso entorno y sobre el significado de ser galés. Es un relato íntimo y nítido que recorre la turbulenta historia de los galeses y su batalla para mantener vivos su idioma y su cultura a la sombra de su vecino más poderoso. <br/>Entretejiendo algo de poesía y tradición galesa, Morris nos lleva por un camino sinuoso hasta su casa, una humilde estructura del siglo XVIII construida para el ganado y posteriormente convertida en hogar. Este modesto edificio se convierte en un espejo de su vida, así como del alma del pequeño y complejo país de Gales, que ha desafiado al mundo durante siglos para preservar su propia identidad. <br/>En su recuerdos están el aroma de la madera quemada, el sonido de las vigas, bosques encantados, torres de libros, muchos recuerdos y, por supuesto, su gato Ibsen.;;21;2023-10-11;2024-04-22;Reino Unido;
Agonía Del Eros, La;;Han, Byung-Chul;;Tapa blanda;;;Herder Editorial;2;2012;2019;978-84-25-43275-0;;88;"Gabás, Raúl; Riu, Antoni Martínez";Castellano;;"Histórica; Modernidad; Filosofía; Corea del Sur";;;;;true;;;;0bafe8dac1a70b0f44200af4274a81c8.jpeg;<p>La proclamación neoliberal de la libertad se manifiesta en realidad como un imperativo paradójico: sé libre. Domina una economía de la supervivencia en la que cada uno es su propio empresario. El neoliberalismo, con sus desinhibidos impulsos narcisistas del yo y del rendimiento, es el infierno de lo igual, una sociedad de la depresión y el cansancio compuesta por sujetos aislados.</p> <p>Los muros y las fronteras ya no excitan la fantasía, pues no engendran al otro. Dado que el Eros se dirige a ese otro, el capitalismo elimina la alteridad para someterlo todo al consumo: la exposición como mercancía intensifica lo pornográfico, pues no conoce ningún otro uso de la sexualidad. Desaparece así la experiencia erótica. La crisis actual del arte, y también de la literatura, puede atribuirse a esta desaparición del otro, a «la agonía del Eros».</p>;;22;2023-10-11;2024-04-22;Corea del Sur;
Doce Cuentos Peregrinos;;García Márquez, Gabriel;;Tapa blanda;2021-01-01;;Debolsillo;30;11992;2021;987-113809-1;;220;;Castellano;Narrativa;Colombia;;;Nuevo;;true;;;;b83905b04175f88aa2fb5abfc7ffbbcb.jpeg;Los doce cuentos de este libro fueron escritos em el curso de los últimos dieciocho años. Antes de su forma actual, cinco de ellos periodísticas y guiones de cine, y uno fue un serial de televisión. Otro lo conté hace quince años en una entrevista grabada , y el amigo a quien se lo conté lo trancribió y lo publicó, y ahora lo he vuelto a escribir a partir de esa versión. Ha sido uma rara experiencia creativa que merece ser explicada, aunque sea para que los niños que quieren ser escritores cuando sean grandes sepan desde ahora qué insaciable y abrasivo es el vicio de escribir.;;23;2023-10-12;2024-04-22;Colombia;
Un Millón de Pequeñas Cosas;;Mallery, Susan;;Tapa blanda;;;HQN, Harlequin Ibérica;;2017;2020;978-84-13-28917-5;;384;;Castellano;Narrativa;"Romance; Ficción";;;;;true;;;;9c95b67d85a0f827aec437a3db0d07a6.jpeg;"<p>Zoe Saldivar no solo estaba soltera; estaba sola. Acababa de romper con su novio, trabajaba desde casa y Jen, su mejor amiga, estaba tan obsesionada con su bebé que prácticamente había abandonado su amistad. El día en que Zoe se quedó atrapada accidentalmente en su ático con su gato hambriento se dio cuenta de que dependía solo de ella dejar de vivir en soledad.</p><p>Pero su vida aparentemente vacía se complicó de pronto: la primera nueva amiga que hizo era Pam, la madre viuda de Jen, y, el único chico que logró que volviera a sentir mariposas revoloteándole por el estómago era el hermano de Jen. Mientras tanto, su padre, un hombre de encantos embriagadores como el tequila, se proponía seducir a Pam.</p><p>Pam estaba aturdida y nerviosa, Jen estaba enfadada, y Zoe estaba empezando a pensar que, después de todo, estar sola no estaba tan mal.</p>";;24;2023-10-12;2024-02-10;Estados Unidos;
El Que Tiene Sed;;Castillo, Abelardo;;Tapa blanda;2022-01-01;;Seix Barral Argentina;1;1985;2019;950-731994-8;;256;;Castellano;Narrativa;"Ficción; Argentina";;;Nuevo;;true;;;;70860ad9b98fd7f65366216873078b3e.jpeg;"<p> <b>Esteban Espósito rompe el pico de una botella de whisky contra la mesada de una cocina para poder beber sin el incómodo gotero. En su pesadilla alcohólica libra una lucha sin cuartel contra la lógica de la realidad. Su sed no puede ser saciada porque exige una sola cosa: el secreto de la vida. Sartre dijo alguna vez que cuando un escritor no tiene nada más que decir es cuando puede volver a decirlo todo. Luego de dejar el alcohol en 1974, Abelardo Castillo creía que básicamente había dejado de escribir, pero ocho años después pasó de ese retiro casi efectivo a un fenomenal despliegue de su potencia expresiva, en este libro en el que fue capaz de decirlo todo.</b> </p> <p>""Dipsómano en griego significa <i>el que tiene sed,</i> y este libro es el mejor retrato del alcoholismo que ha dado la literatura argentina. Pero además es otras cosas. Aquello que persigue Esteban Espósito es lo mismo que perseguían el cónsul Firmin en <i>Bajo el volcán,</i> Samuel Tesler en <i>Adán Buenosayres</i> y Dylan Thomas la famosa noche de los dieciocho whiskys seguidos. Todos los grandes dipsómanos de la literatura levantan la oreja y prestan atención cuando un nuevo aspirante se aventura en su terreno. Todos están presentes en este libro fulgurante"". <br/>JUAN FORN</p>";;25;2023-10-12;2023-10-15;Argentina;
